Group No,Group Name,CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,Tone,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
13,Local Repeaters,0,W8BLV,OFF,146.61,DUP-,0.6,FM,OFF,1,TSQL,88.5,77,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8JEU,OFF,147.315,DUP+,0.6,FM,OFF,1,TSQL,88.5,77,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8RNL,OFF,145.15,DUP-,0.6,DV,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8RNL,OFF,442.625,DUP+,5,DV,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8CCI,OFF,145.21,DUP-,0.6,FM,OFF,1,Tone,118.8,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,WC8VOA,OFF,145.39,DUP-,0.6,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,N8COZ,OFF,146.715,DUP-,0.6,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8WRK,OFF,147,DUP+,0.6,FM,OFF,1,Tone,123,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8CCI,OFF,147.33,DUP+,0.6,FM,OFF,1,TSQL,88.5,118.8,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,N8ECH,OFF,224.34,DUP-,1.6,FM,OFF,1,Tone,77,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,WC8RA,OFF,442.325,DUP+,5,FM,OFF,1,Tone,123,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,WA8MU,OFF,442.55,DUP+,5,FM,OFF,1,Tone,118.8,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,N8MFN,OFF,442.65,DUP+,5,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8VVL,OFF,442.7,DUP+,5,FM,OFF,1,Tone,123,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8WRK,OFF,443.3375,DUP+,5,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8MUM,OFF,443.5375,DUP+,5,FM,OFF,1,TSQL,88.5,118.8,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,KD8EYB,OFF,444.1125,DUP+,5,FM,OFF,1,TSQL,88.5,118.8,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,AG8Y,OFF,444.475,DUP+,5,FM,OFF,1,Tone,100,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8KY,OFF,444.65,DUP+,5,FM,OFF,1,Tone,123,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8BLV,OFF,444.825,DUP+,5,FM,OFF,1,Tone,77,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8RNL,OFF,1293,DUP-,20,DV,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8CCI,OFF,146.97,DUP-,0.6,FM,OFF,1,TSQL,88.5,118.8,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,WB8TCB,OFF,224.54,DUP-,1.6,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8BLV,OFF,444.3625,DUP+,5,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,Jungle Jim's,OFF,443.95,DUP+,5,FM,ON,1,Tone,123,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,North C Street hill,OFF,224.88,DUP-,1.6,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,Swan Lake,OFF,444.975,DUP+,5,FM,OFF,1,DTCS,88.5,88.5,,,OFF,0,CQCQCQ,,,OFF
13,Local Repeaters,0,VOA Museum,OFF,443.65,DUP+,5,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,KD8VLU,OFF,442.9625,DUP+,5,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8ESS,OFF,224.62,DUP-,1.6,FM,OFF,1,TSQL,88.5,110.9,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8ESS,OFF,444.225,DUP+,5,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8YOJ,OFF,146.85,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8YOJ,OFF,224.06,DUP-,1.6,FM,OFF,1,Tone,100,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8WRK,OFF,146.7,DUP-,0.6,FM,OFF,1,Tone,123,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8BIG,OFF,443.9,DUP+,5,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,Mobicomm,OFF,146.88,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,Mobilcomm,OFF,443.4,DUP+,5,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,KB8BWE,OFF,444.75,DUP+,5,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8BIG,OFF,147.15,DUP+,0.6,FM,OFF,1,TSQL,88.5,123,023,,OFF,0,CQCQCQ,,,OFF
