Group No,Group Name,CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split,Frequency(2),Dup(2),Offset(2),Mode(2),DATA(2),Filter(2),TONE(2),Repeater Tone(2),TSQL Frequency(2),DTCS Code(2),DTCS Polarity(2),DV SQL(2),DV CSQL Code(2),Your Call Sign(2),RPT1 Call Sign(2),RPT2 Call Sign(2)
09,Wx,00,WX 1,OFF,162.550000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.550000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,01,WX 2,OFF,162.400000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.400000,OFF,0.600000,FM,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,02,WX 3,OFF,162.475000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.475000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,03,WX 4,OFF,162.425000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.425000,OFF,0.600000,FM,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,04,WX 5,OFF,162.450000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.450000,OFF,0.600000,FM,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,05,WX 6,OFF,162.500000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.500000,OFF,0.600000,FM,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,06,WX 7,OFF,162.525000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,,OFF,162.525000,OFF,0.600000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,,,,,
09,Wx,08,NMFWEFAX,OFF,4.233100,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,4.233100,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,09,NMG_WX,OFF,4.326000,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,4.326000,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,10,NMN_WX,OFF,4.426000,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,4.426000,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,11,NMFWEFAX,OFF,6.338600,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,6.338600,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,12,NMN_WX,OFF,6.501000,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,6.501000,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,13,NMG_WX,OFF,8.502000,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,8.502000,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,14,NMN_WX,OFF,8.764000,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,8.764000,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,15,NMFWEFAX,OFF,9.108100,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,9.108100,OFF,0.600000,LSB,OFF,1,,,,,,,,,,
09,Wx,16,NMFWEFAX,OFF,12.748100,OFF,0.600000,USB,OFF,1,,,,,,,,,,,OFF,12.748100,OFF,0.600000,USB,OFF,1,,,,,,,,,,
09,Wx,18,NOAA-15,OFF,137.620000,OFF,0.500000,WFM,OFF,1,,,,,,,,,,,OFF,14.100000,OFF,0.500000,USB,OFF,2,,,,,,,,,,
09,Wx,19,NOAA-18,OFF,137.912500,OFF,0.500000,WFM,OFF,1,,,,,,,,,,,OFF,14.100000,OFF,0.500000,USB,OFF,2,,,,,,,,,,
09,Wx,20,NOAA-19,OFF,137.100000,OFF,0.500000,WFM,OFF,1,,,,,,,,,,,OFF,14.100000,OFF,0.500000,USB,OFF,2,,,,,,,,,,
